created_at;entry_id;field1;field2
2024-11-15 15:06:44 UTC;17915992;11.000000;22.000000
2024-11-15 15:06:59 UTC;17915993;21.000000;23.000000
2024-11-15 15:07:15 UTC;17915994;16.000000;21.000000
2024-11-15 15:07:31 UTC;17915995;9.000000;19.000000
2024-11-15 15:07:46 UTC;17915996;10.000000;15.000000
2024-11-15 15:08:02 UTC;17915997;8.000000;15.000000
2024-11-15 15:08:17 UTC;17915998;11.000000;29.000000
2024-11-15 15:08:32 UTC;17915999;10.000000;21.000000
2024-11-15 15:08:48 UTC;17916000;9.000000;24.000000
2024-11-15 15:09:03 UTC;17916001;11.000000;24.000000
2024-11-15 15:09:18 UTC;17916002;9.000000;27.000000
2024-11-15 15:09:34 UTC;17916003;16.000000;16.000000
2024-11-15 15:09:50 UTC;17916004;14.000000;22.000000
2024-11-15 15:10:05 UTC;17916005;10.000000;19.000000
2024-11-15 15:10:20 UTC;17916006;7.000000;21.000000
2024-11-15 15:10:36 UTC;17916007;11.000000;19.000000
2024-11-15 15:10:52 UTC;17916008;6.000000;18.000000
2024-11-15 15:11:07 UTC;17916009;10.000000;17.000000
2024-11-15 15:11:23 UTC;17916010;11.000000;12.000000
2024-11-15 15:11:39 UTC;17916011;11.000000;13.000000
2024-11-15 15:11:55 UTC;17916012;11.000000;19.000000
2024-11-15 15:12:10 UTC;17916013;12.000000;24.000000
2024-11-15 15:12:25 UTC;17916014;18.000000;19.000000
2024-11-15 15:12:41 UTC;17916015;9.000000;17.000000
2024-11-15 15:12:56 UTC;17916016;4.000000;26.000000
2024-11-15 15:13:12 UTC;17916017;7.000000;25.000000
2024-11-15 15:13:27 UTC;17916018;12.000000;28.000000
2024-11-15 15:13:43 UTC;17916019;16.000000;19.000000
2024-11-15 15:13:58 UTC;17916020;6.000000;13.000000
2024-11-15 15:14:13 UTC;17916021;9.000000;13.000000
2024-11-15 15:14:29 UTC;17916022;12.000000;21.000000
2024-11-15 15:14:45 UTC;17916023;7.000000;19.000000
2024-11-15 15:15:00 UTC;17916024;5.000000;18.000000
2024-11-15 15:15:16 UTC;17916025;7.000000;18.000000
2024-11-15 15:15:31 UTC;17916026;12.000000;17.000000
2024-11-15 15:15:46 UTC;17916027;7.000000;18.000000
2024-11-15 15:16:01 UTC;17916028;7.000000;15.000000
2024-11-15 15:16:17 UTC;17916029;7.000000;15.000000
2024-11-15 15:16:32 UTC;17916030;5.000000;21.000000
2024-11-15 15:16:48 UTC;17916031;16.000000;20.000000
2024-11-15 15:17:03 UTC;17916032;14.000000;17.000000
2024-11-15 15:17:19 UTC;17916033;10.000000;24.000000
2024-11-15 15:17:34 UTC;17916034;10.000000;25.000000
2024-11-15 15:17:50 UTC;17916035;9.000000;12.000000
2024-11-15 15:18:05 UTC;17916036;4.000000;9.000000
2024-11-15 15:18:21 UTC;17916037;2.000000;8.000000
2024-11-15 15:18:37 UTC;17916038;21.000000;14.000000
2024-11-15 15:18:52 UTC;17916039;17.000000;33.000000
2024-11-15 15:19:08 UTC;17916040;14.000000;33.000000
2024-11-15 15:19:23 UTC;17916041;7.000000;28.000000
2024-11-15 15:19:38 UTC;17916042;2.000000;11.000000
2024-11-15 15:19:54 UTC;17916043;4.000000;12.000000
2024-11-15 15:20:10 UTC;17916044;5.000000;11.000000
2024-11-15 15:20:26 UTC;17916045;9.000000;14.000000
2024-11-15 15:20:42 UTC;17916046;9.000000;11.000000
2024-11-15 15:20:57 UTC;17916047;7.000000;11.000000
2024-11-15 15:21:13 UTC;17916048;8.000000;8.000000
2024-11-15 15:21:29 UTC;17916049;6.000000;17.000000
2024-11-15 15:21:44 UTC;17916050;5.000000;16.000000
2024-11-15 15:22:00 UTC;17916051;11.000000;19.000000
2024-11-15 15:22:15 UTC;17916052;12.000000;26.000000
2024-11-15 15:22:30 UTC;17916053;10.000000;28.000000
2024-11-15 15:22:45 UTC;17916054;16.000000;26.000000
2024-11-15 15:23:00 UTC;17916055;14.000000;30.000000
2024-11-15 15:23:16 UTC;17916056;8.000000;19.000000
2024-11-15 15:23:32 UTC;17916057;12.000000;22.000000
2024-11-15 15:23:47 UTC;17916058;18.000000;18.000000
2024-11-15 15:24:03 UTC;17916059;16.000000;18.000000
2024-11-15 15:24:18 UTC;17916060;5.000000;9.000000
2024-11-15 15:24:33 UTC;17916061;1.000000;10.000000
2024-11-15 15:24:48 UTC;17916062;2.000000;12.000000
2024-11-15 15:25:04 UTC;17916063;1.000000;14.000000
2024-11-15 15:25:19 UTC;17916064;5.000000;19.000000
2024-11-15 15:25:35 UTC;17916065;8.000000;14.000000
2024-11-15 15:25:50 UTC;17916066;16.000000;21.000000
2024-11-15 15:26:06 UTC;17916067;12.000000;9.000000
2024-11-15 15:26:21 UTC;17916068;10.000000;8.000000
2024-11-15 15:26:36 UTC;17916069;8.000000;14.000000
2024-11-15 15:26:52 UTC;17916070;14.000000;16.000000
2024-11-15 15:27:07 UTC;17916071;17.000000;18.000000
2024-11-15 15:27:23 UTC;17916072;11.000000;12.000000
2024-11-15 15:27:39 UTC;17916073;10.000000;21.000000
2024-11-15 15:27:54 UTC;17916074;9.000000;24.000000
2024-11-15 15:28:10 UTC;17916075;6.000000;34.000000
2024-11-15 15:28:26 UTC;17916076;8.000000;30.000000
2024-11-15 15:28:41 UTC;17916077;17.000000;23.000000
2024-11-15 15:28:57 UTC;17916078;16.000000;24.000000
2024-11-15 15:29:12 UTC;17916079;18.000000;22.000000
2024-11-15 15:29:27 UTC;17916080;16.000000;20.000000
2024-11-15 15:29:42 UTC;17916081;17.000000;16.000000
2024-11-15 15:29:58 UTC;17916082;20.000000;19.000000
2024-11-15 15:30:13 UTC;17916083;13.000000;15.000000
2024-11-15 15:30:29 UTC;17916084;23.000000;16.000000
2024-11-15 15:30:45 UTC;17916085;18.000000;19.000000
2024-11-15 15:31:00 UTC;17916086;16.000000;27.000000
2024-11-15 15:31:15 UTC;17916087;20.000000;23.000000
2024-11-15 15:31:30 UTC;17916088;22.000000;28.000000
2024-11-15 15:31:45 UTC;17916089;12.000000;19.000000
2024-11-15 15:32:00 UTC;17916090;18.000000;12.000000
2024-11-15 15:32:16 UTC;17916091;14.000000;18.000000
